PATIENT_ID,TMED4,TMED9
TCGA.DU.A6S3.01,759.76,1843.34
TCGA.DU.A6S6.01,1086.64,1947.34
TCGA.DU.A6S7.01,1007.7,1861.71
TCGA.DU.A6S8.01,1381.58,2167.98
TCGA.DU.A76K.01,994.907,2843.75
TCGA.DU.A76L.01,1517.02,3540.09
TCGA.DU.A76O.01,799.448,2387.76
TCGA.DU.A76R.01,1265.52,1767.11
TCGA.DU.A7T6.01,1172.66,2197.31
TCGA.DU.A7T8.01,779.745,2180.48
TCGA.DU.A7TA.01,1133.9,2415.06
TCGA.DU.A7TB.01,1105.53,2695.7
TCGA.DU.A7TC.01,907.812,2307.42
TCGA.DU.A7TD.01,1698.66,2500.65
TCGA.DU.A7TG.01,706.447,1477.76
TCGA.DU.A7TI.01,802.012,1712.47
TCGA.DU.A7TJ.01,1267.94,3151.02
TCGA.E1.5302.01,872.166,1808.84
TCGA.E1.5303.01,900.327,1955.7
TCGA.E1.5304.01,1195.04,1799.6
TCGA.E1.5305.01,1062.68,1363.07
TCGA.E1.5307.01,857.642,1212.11
TCGA.E1.5311.01,895.098,1464.15
TCGA.E1.5318.01,1021.31,1744.8
TCGA.E1.5319.01,1217.67,1695.58
TCGA.E1.5322.01,964.211,2136.07
TCGA.E1.A7YD.01,1440.7,3560.65
TCGA.E1.A7YE.01,873.591,1664.27
TCGA.E1.A7YH.01,996.274,2089.23
TCGA.E1.A7YI.01,1037.38,2525.97
TCGA.E1.A7YJ.01,1423.97,3459.35
TCGA.E1.A7YK.01,906.47,2332.21
TCGA.E1.A7YL.01,1678.82,4278.59
TCGA.E1.A7YM.01,1546.93,2450.95
TCGA.E1.A7YN.01,1414.51,2978.56
TCGA.E1.A7YO.01,979.889,1548.79
TCGA.E1.A7YQ.01,1333.46,5027.42
TCGA.E1.A7YS.01,1318.25,1605.11
TCGA.E1.A7YU.01,734.49,2487.28
TCGA.E1.A7YV.01,907.67,2189.65
TCGA.E1.A7YW.01,903.181,1904.67
TCGA.E1.A7YY.01,847.063,1842.11
TCGA.E1.A7Z2.01,2630.7,2896.11
TCGA.E1.A7Z3.01,764.91,2179.92
TCGA.E1.A7Z4.01,972.781,2303.18
TCGA.E1.A7Z6.01,1305.74,1998.59
TCGA.EZ.7264.01,1478.29,1605.26
