"","gene_id","entrezgene","ensembl_gene_id","transcript_id.transcript_id_TCGA.BH.A0B6.01A.11R.A19W.07","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CIC|23152","CIC",23152,"ENSG00000079432","uc002otf.1",0.170179384460973,6.36237554119014,1.78031269530415,0.0771007118182418,0.107418124377348,-6.27486504914505
"HIPK1|204851","HIPK1",204851,"ENSG00000163349","uc001eel.2,uc001eem.2,uc001een.2,uc001eeo.2,uc001eep.2,uc001eeq.2",-0.184940882904199,6.79002771026941,-1.78458724608424,0.0764010243201574,0.106542905129692,-6.27502652291113
"MBD2|8932","MBD2",8932,"ENSG00000134046","uc002lfg.1,uc002lfh.1",-0.172317679657672,6.52437638015282,-1.78326699348008,0.0766165717073124,0.106798067899811,-6.27607843261705
"C1QL1|10882","C1QL1",10882,"ENSG00000131094","uc002ihv.2",0.370901376776434,-1.13976847956617,1.04439034945884,0.298027697845526,0.359149226586266,-6.2790972298146
"SNRNP70|6625","SNRNP70",6625,"ENSG00000104852","uc002pmh.1,uc002pmi.1,uc002pmk.2,uc002pml.2,uc002pmm.2",0.22308126273748,6.90867123217072,1.78209367663051,0.0768085501860673,0.107047468481713,-6.27929305442661
"TMEM217|221468","TMEM217",221468,"ENSG00000172738","uc003onl.2,uc003onm.3,uc010jwr.2,uc010jws.2",-0.204502917677816,-0.492108820530409,-1.13536488310129,0.258079369709392,0.316002179924996,-6.27948752800286
"IDO1|3620","IDO1",3620,"ENSG00000131203","uc003xnm.2,uc003xnn.2",0.585282245994748,2.08747295053833,1.35933690766806,0.176131786079598,0.225462989067613,-6.28000714482445
"PAWR|5074","PAWR",5074,"ENSG00000177425","uc001syx.2",0.234952510247238,4.17098179993826,1.64446608042516,0.102227399129585,0.138654420561795,-6.28076264373635
"C8orf4|56892","C8orf4",56892,"ENSG00000176907","uc003xnq.1",-0.501175347244986,5.4765593077856,-1.76158310604263,0.0802289625576382,0.111360055217164,-6.28242136484015
"SLC6A10P|386757","SLC6A10P",386757,"ENSG00000214617","uc002edh.1,uc002edi.1",0.309335410116283,-1.82266319702197,0.976505019585114,0.330426435019754,0.392565473999119,-6.2824358487162
"SIAH1|6477","SIAH1",6477,"ENSG00000196470","uc002efl.2,uc002efn.1,uc002efo.1",-0.177385167471997,4.93334783514396,-1.7281292994788,0.0860753443105993,0.118571480936725,-6.2825033239006
"RNMT|8731","RNMT",8731,"ENSG00000101654","uc002ksk.1,uc002ksl.1,uc002ksm.1,uc010dlk.2,uc010xae.1",-0.163071656007903,5.84764612637031,-1.76786697826041,0.0791680038152369,0.11002714941904,-6.28385542587093
"ATF2|1386","ATF2",1386,"ENSG00000115966","uc002ujl.2,uc002ujm.2,uc002ujn.2,uc002ujo.2,uc002ujp.2,uc002ujq.2,uc002ujr.2,uc002ujs.2,uc002ujt.2,uc002uju.2,uc002ujv.2,uc002ujw.1,uc002ujx.1,uc002ujy.1,uc010fqu.2,uc010fqv.2",-0.212723974879562,4.81602706992568,-1.72154373548633,0.0872662456063111,0.120010303705215,-6.28387678816469
"RNASEL|6041","RNASEL",6041,"ENSG00000135828","uc001gpj.1,uc001gpk.2,uc009wxz.1,uc009wya.1",-0.185457017797571,4.4121078440475,-1.68885897402525,0.0933770372279799,0.127717599559111,-6.2848623875758
"SNX17|9784","SNX17",9784,"ENSG00000115234","uc002rkg.1,uc002rkh.1,uc002rki.1,uc010eza.1,uc010ylj.1,uc010ylk.1,uc010yll.1,uc010ylm.1,uc010yln.1,uc010ylo.1,uc010ylp.1,uc010ylq.1",0.117989682695762,6.89735604729933,1.77896503101873,0.0773223974250348,0.10768122522817,-6.28498380630019
"FCF1|51077","FCF1P6",51077,"ENSG00000225671","uc001xqe.1,uc001xqf.1,uc001xqg.2,uc001xqh.2,uc001xqi.2",-0.129537908713067,5.4169635558487,-1.75112058067514,0.0820213106369425,0.113665035214035,-6.28570897777091
"NUDT16P1|152195","NUDT16P1",152195,"ENSG00000246082","uc003eod.2,uc003eoe.2",-0.321651062310989,1.81840054120614,-1.38003953185264,0.169680075364861,0.218055589521951,-6.28640050286435
"GALNT4|8693","GALNT4",8693,"ENSG00000257594","uc001tbd.2,uc001tbe.2,uc010suo.1",0.216525148010671,4.61643231664437,1.68673526024473,0.0937858020169607,0.128212511529858,-6.28684935166915
"CKMT1A|548596","CKMT1B",548596,"ENSG00000237289","uc001zsn.2,uc001zso.3,uc010bdo.2,uc010uea.1,uc010ueb.1",0.685390841746604,1.89676647558222,1.32129516163177,0.188465993500724,0.23923433971745,-6.28783467675199
"TMEM150C|441027","TMEM150C",441027,"ENSG00000249242","uc003hmy.1,uc011ccj.1",-0.533568588894318,4.04577244736365,-1.66680711877478,0.0976925353726896,0.13316466491227,-6.28891409906231
"PGBD5|79605","PGBD5",79605,"ENSG00000177614","uc001htv.2,uc010pwb.1",0.408528568836214,1.59170613214996,1.30497729999586,0.19394973229566,0.245435114724434,-6.28991331057433
"SPINK8|646424","SPINK8",646424,"ENSG00000229453","uc003csq.1",-0.5197512811504,-2.24822365745628,-0.968236974823906,0.334524212146481,0.396650962720401,-6.29005211287887
"GSDMA|284110","GSDMA",284110,"ENSG00000167914","uc002htl.1,uc002htm.1",0.357912997704197,-1.25619305291009,1.02234595514449,0.308304995005299,0.370013995945913,-6.29078867483251
"ZNF382|84911","ZNF382",84911,"ENSG00000161298","uc002oek.2,uc002oel.2,uc010efa.2,uc010efb.2",0.182384820608649,1.53679820225571,1.31081863281467,0.191973266633861,0.243159216039211,-6.29117573566046
"COX10|1352","COX10",1352,"ENSG00000006695","uc002gof.3,uc010vvs.1,uc010vvt.1",-0.117992316374715,3.91491256490946,-1.63157474433799,0.104920190580963,0.141989566153567,-6.29142186944821
"SLA2|84174","SLA2",84174,"ENSG00000101082","uc002xfu.2,uc002xfv.2",0.399854136496524,0.882426526075871,1.22738053015292,0.221651217227637,0.276667432254445,-6.29212238021725
"MAML1|9794","MAML1",9794,"ENSG00000161021","uc003mkm.2,uc003mkn.1",0.10894261057058,6.2179054543079,1.76816833041552,0.0791174150632156,0.109966163844541,-6.29272632579699
"PFDN1|5201","PFDN1",5201,"ENSG00000113068","uc003lfe.1,uc003lff.1,uc003lfg.1,uc003lfh.1",0.134428389944387,5.9428655573521,1.76111537831579,0.0803083974078135,0.111460875982365,-6.29283148627065
"C1orf226|400793","C1orf226",400793,"ENSG00000239887","uc001gby.2,uc010pkt.1",-0.436298607188015,5.08412278516409,-1.73683061574003,0.0845222169452881,0.116686924176931,-6.29319619249338
"HMGXB4|10042","HMGXB4",10042,"ENSG00000100281","uc003ank.2,uc003anl.2,uc011amh.1",0.161026406611803,5.28389816356208,1.73103592722961,0.0855539597647904,0.117952368714488,-6.2955798455072
"B3GNT8|374907","B3GNT8",374907,"ENSG00000177191","uc002oqs.2,uc002oqt.1",0.256726144907315,1.68072964303294,1.31960816085485,0.189027509990856,0.239798576088376,-6.29685849886245
"ZC3HC1|51530","ZC3HC1",51530,"ENSG00000091732","uc003vph.2,uc003vpi.2,uc010lma.2",0.114383318575938,4.14916639791389,1.64059846647008,0.103029383184131,0.139638203366456,-6.29695472156703
"C19orf42|79086","SMIM7",79086,"ENSG00000214046","uc002neo.1,uc002nep.1,uc002neq.2,uc002ner.2",0.148861957527369,6.12429379543019,1.76285470767961,0.0800133306334319,0.111070156003766,-6.29768257297324
"SOX2OT|347689","SOX2-OT",347689,"ENSG00000242808","uc003fkv.2,uc003fkw.3",-0.241838568110007,-3.143866511616,-0.849908349294115,0.396764985737603,0.459556674875107,-6.29778503856996
"HESX1|8820","HESX1",8820,"ENSG00000163666","uc003din.3",0.18358369675506,-0.505834606263317,1.09741739054223,0.274262214691244,0.33369858599141,-6.29808448108693
"LOC387646|387646","LRRC37A6P",387646,"ENSG00000230445","uc001its.2",0.354591305060343,1.16194843376188,1.25347550289398,0.212032477946468,0.26609970477336,-6.29814021458766
"PLEKHA1|59338","PLEKHA1",59338,"ENSG00000107679","uc001lge.1,uc001lgf.1,uc001lgg.1,uc001lgh.2",-0.158113900506039,5.40862782064997,-1.74382281388606,0.0832908217375187,0.115200348567019,-6.29845813379839
"C17orf95|124512","METTL23",124512,"ENSG00000181038","uc002jsp.2,uc002jsq.2,uc002jsr.2,uc002jss.2,uc002jst.2,uc002jsu.2",0.155732226447055,4.24349873103606,1.646447491405,0.101818484477326,0.138145513077984,-6.29894908430495
"CXorf56|63932","CXorf56",63932,"ENSG00000018610","uc004erj.1,uc004erk.1,uc011mtu.1",-0.122447100194846,3.61544617140707,-1.59076198995927,0.113822043368735,0.152875518514422,-6.29903328807696
"NSL1|25936","NSL1",25936,"ENSG00000117697","uc001hjm.2,uc001hjn.2,uc010pti.1",0.143253559500909,5.14005989907229,1.72106800397619,0.087352792281537,0.120119248168388,-6.29942458084959
"EFCAB4B|84766","EFCAB4B",84766,"ENSG00000130038","uc001qmi.1,uc001qmj.2,uc010sen.1,uc010seo.1",-0.353598079626635,2.82960180552437,-1.50344188697005,0.134881084308941,0.177795328146722,-6.30038099437685
"KLHL6|89857","KLHL6",89857,"ENSG00000172578","uc003flr.2,uc003fls.1,uc003flt.1,uc010hxk.1",0.311585368618929,2.92274402348985,1.47021402357987,0.143651504085637,0.188085836433187,-6.30060429825969
"DHFR|1719","DHFR",1719,"ENSG00000228716","uc003kgx.1,uc003kgy.1,uc010jap.1,uc011ctl.1,uc011ctm.1",0.230651121627864,4.24732477483476,1.64305592490527,0.102519224068992,0.139027228007863,-6.30120037978115
"MED12|9968","MED12",9968,"ENSG00000184634","uc004dyy.2,uc004dyz.2,uc004dza.2,uc010nla.2,uc011mpq.1",-0.143081198878704,6.11075233680008,-1.76333797268182,0.0799315058130541,0.110965967169041,-6.30177432381923
