PATIENT_ID,FOXM1,MCM2
TCGA.AN.A0XN.01,531.87,820.423
TCGA.AN.A0XO.01,504.453,1082.23
TCGA.AN.A0XP.01,339.955,576.849
TCGA.AN.A0XR.01,1386.73,1471.27
TCGA.AN.A0XS.01,308.523,714.674
TCGA.AN.A0XT.01,346.307,702.33
TCGA.AN.A0XU.01,3567.06,2966.23
TCGA.AN.A0XV.01,653.769,678.87
TCGA.AN.A0XW.01,1498.86,962.459
TCGA.AO.A03L.01,942.082,1545.77
TCGA.AO.A03M.01,1507.37,1459.31
TCGA.AO.A03N.01,1149.06,661.492
TCGA.AO.A03O.01,1848.94,2351.97
TCGA.AO.A03P.01,1702.07,1208.45
TCGA.AO.A03R.01,1880.1,1669.84
TCGA.AO.A03T.01,961.044,831.469
TCGA.AO.A03U.01,289.445,462.313
TCGA.AO.A03V.01,358.239,1001.96
TCGA.AO.A0J2.01,4142.09,1768.63
TCGA.AO.A0J3.01,1343.41,1535
TCGA.AO.A0J4.01,2433.79,2131.41
TCGA.AO.A0J5.01,814.645,1036.45
TCGA.AO.A0J6.01,2231.87,2072.64
TCGA.AO.A0J7.01,1358.92,3226.64
TCGA.AO.A0J8.01,365.228,770.088
TCGA.AO.A0J9.01,831.636,689.052
TCGA.AO.A0JA.01,1219.75,718.094
TCGA.AO.A0JB.01,560,488.372
TCGA.AO.A0JC.01,389.575,754.816
TCGA.AO.A0JD.01,2810.66,1836.89
TCGA.AO.A0JE.01,699.659,1493.31
TCGA.AO.A0JF.01,248.248,518.447
TCGA.AO.A0JG.01,215.814,527.54
TCGA.AO.A0JI.01,980.451,1159.79
TCGA.AO.A0JJ.01,593.147,1368.74
TCGA.AO.A0JL.01,1495.09,610.713
TCGA.AO.A0JM.01,1643.43,1100.22
TCGA.AO.A124.01,3133.4,2871.66
TCGA.AO.A125.01,331.112,289.131
TCGA.AO.A126.01,515.619,663.509
TCGA.AO.A128.01,1091.07,2704.75
TCGA.AO.A129.01,5576.61,1835.14
TCGA.AO.A12A.01,373.947,600.136
TCGA.AO.A12B.01,485.506,488.847
TCGA.AO.A12D.01,641.283,814.13
TCGA.AO.A12E.01,1219.17,1383.61
TCGA.AO.A12F.01,3195.33,1857.93
TCGA.AO.A12G.01,512.12,853.2
TCGA.AO.A12H.01,563.632,510.939
TCGA.AO.A1KO.01,92.3051,501.505
TCGA.AO.A1KP.01,916.613,935.36
TCGA.AO.A1KQ.01,2568.48,1052.81
TCGA.AO.A1KR.01,3952.33,2909.03
TCGA.AO.A1KS.01,1748.33,520.863
TCGA.AO.A1KT.01,1651.36,1985.27
TCGA.AQ.A04H.01,1234.65,1798.12
TCGA.AQ.A04J.01,3792.26,3659.79
TCGA.AQ.A04L.01,653.486,969.923
TCGA.AQ.A0Y5.01,239.763,726.503
TCGA.AQ.A1H2.01,247.398,616.407
TCGA.AQ.A1H3.01,609.146,955.467
TCGA.AQ.A54N.01,761.408,1558.57
TCGA.AQ.A54O.01,272.379,623.405
TCGA.AQ.A7U7.01,526.32,798.774
TCGA.AR.A0TP.01,2316.37,4320.78
TCGA.AR.A0TQ.01,2453.38,2060.48
TCGA.AR.A0TR.01,129.659,557
TCGA.AR.A0TS.01,3372.54,1802.88
TCGA.AR.A0TT.01,783.613,1100.73
TCGA.AR.A0TU.01,6782.6,1941.46
TCGA.AR.A0TV.01,2012.89,1924.73
TCGA.AR.A0TW.01,509.51,1018.15
TCGA.AR.A0TX.01,871.594,1024.37
TCGA.AR.A0TY.01,1799.61,2376.65
TCGA.AR.A0TZ.01,759.016,1848.29
TCGA.AR.A0U0.01,1393.85,1077.1
TCGA.AR.A0U1.01,1705.02,1109.49
TCGA.AR.A0U2.01,3149.74,2253.51
TCGA.AR.A0U3.01,2429.02,1561.32
TCGA.AR.A0U4.01,3646.11,2113.36
TCGA.AR.A1AH.01,2357.36,1324.74
TCGA.AR.A1AI.01,2554.11,2936.01
TCGA.AR.A1AJ.01,1650.68,2576.24
TCGA.AR.A1AK.01,1029.22,985.765
TCGA.AR.A1AL.01,393.469,642.247
TCGA.AR.A1AM.01,161.391,583.867
TCGA.AR.A1AN.01,567.221,1019.4
TCGA.AR.A1AO.01,770.293,953.429
TCGA.AR.A1AP.01,774.948,1352.23
TCGA.AR.A1AQ.01,3676.68,1791.32
TCGA.AR.A1AR.01,1433.06,1701.43
TCGA.AR.A1AS.01,670.194,2334.08
TCGA.AR.A1AT.01,935.884,1637.64
TCGA.AR.A1AU.01,901.452,983.992
TCGA.AR.A1AV.01,447.278,970.47
TCGA.AR.A1AW.01,711.948,1142.26
TCGA.AR.A1AX.01,746.885,1257.85
TCGA.AR.A1AY.01,3884.64,2971.25
TCGA.AR.A24H.01,2444.68,2178.72
TCGA.AR.A24K.01,840.55,1466.2
TCGA.AR.A24L.01,897.845,1009.66
TCGA.AR.A24M.01,381.896,1439.15
TCGA.AR.A24N.01,942.924,1354.11
TCGA.AR.A24O.01,693.391,805.159
TCGA.AR.A24P.01,789.157,1296.4
TCGA.AR.A24Q.01,3864.72,1609.61
TCGA.AR.A24R.01,1502.48,1412.52
TCGA.AR.A24S.01,1088.68,1147.27
TCGA.AR.A24T.01,243.507,799.742
TCGA.AR.A24U.01,764.687,974.201
TCGA.AR.A24V.01,205.567,966.956
TCGA.AR.A24W.01,193.79,522.953
TCGA.AR.A24X.01,440.683,786.373
TCGA.AR.A24Z.01,1941.92,1407.81
TCGA.AR.A250.01,1011.1,991.722
TCGA.AR.A251.01,1384.5,2295.55
TCGA.AR.A252.01,415.271,828.741
TCGA.AR.A254.01,720.567,1453.46
TCGA.AR.A255.01,716.788,1609.25
TCGA.AR.A256.01,3596.06,2917.08
TCGA.AR.A2LE.01,286.826,423.653
TCGA.AR.A2LH.01,554.127,1240.27
TCGA.AR.A2LJ.01,444.973,1060.36
TCGA.AR.A2LK.01,1491.73,2356.37
TCGA.AR.A2LM.01,93.2116,775.47
TCGA.AR.A2LN.01,74.5654,339.869
TCGA.AR.A2LO.01,860.303,1500.26
TCGA.AR.A2LQ.01,327.526,551.798
TCGA.AR.A5QM.01,604.333,657.977
TCGA.AR.A5QN.01,569.891,1109.97
TCGA.AR.A5QP.01,419.03,1364.07
TCGA.AR.A5QQ.01,2814.12,2964.73
TCGA.B6.A0I1.01,912.991,1554.8
TCGA.B6.A0I2.01,4283.96,2880.72
TCGA.B6.A0I5.01,344.466,508.988
TCGA.B6.A0I6.01,5537.95,5617.02
TCGA.B6.A0I8.01,499.755,316.209
TCGA.B6.A0I9.01,1525.54,1702.04
TCGA.B6.A0IA.01,850.889,875.862
TCGA.B6.A0IB.01,1546.69,1489.98
TCGA.B6.A0IC.01,589.188,759.308
TCGA.B6.A0IE.01,723.856,1374.83
TCGA.B6.A0IG.01,896.414,1484.33
TCGA.B6.A0IH.01,76.7805,578.81
TCGA.B6.A0IJ.01,6345.69,3923.2
TCGA.B6.A0IK.01,1273.72,2205.2
TCGA.B6.A0IM.01,1052.59,1562.01
TCGA.B6.A0IN.01,686.333,594.129
TCGA.B6.A0IO.01,934.169,995.477
TCGA.B6.A0IP.01,708.561,1196.9
TCGA.B6.A0IQ.01,3686.78,4759.52
TCGA.B6.A0RE.01,3554.42,1687.66
TCGA.B6.A0RG.01,1222.94,935.997
TCGA.B6.A0RH.01,450.089,1170.56
TCGA.B6.A0RI.01,717.14,986.779
TCGA.B6.A0RL.01,1691.56,2794.77
TCGA.B6.A0RM.01,547.565,1508.74
TCGA.B6.A0RN.01,123.153,697.869
TCGA.B6.A0RO.01,233.074,668.112
TCGA.B6.A0RP.01,248.595,836.458
TCGA.B6.A0RQ.01,67.8737,422.895
TCGA.B6.A0RS.01,1421.36,1427.71
TCGA.B6.A0RT.01,1725.11,1457.32
TCGA.B6.A0RU.01,2176.92,3970.83
TCGA.B6.A0RV.01,368.734,1384.68
TCGA.B6.A0WS.01,699.647,1346.69
TCGA.B6.A0WT.01,592.996,1216.28
TCGA.B6.A0WV.01,1462.15,1495.28
TCGA.B6.A0WW.01,1183.95,1000.57
TCGA.B6.A0WX.01,893.185,1595.04
TCGA.B6.A0WY.01,498.697,817.221
TCGA.B6.A0WZ.01,771.094,686.997
TCGA.B6.A0X0.01,493.261,1026.57
TCGA.B6.A0X1.01,9101.6,1306.7
TCGA.B6.A0X4.01,238.282,435.065
TCGA.B6.A0X5.01,2719.59,2080.39
TCGA.B6.A0X7.01,220.518,645.383
TCGA.B6.A1KC.01,1104.48,1298.19
TCGA.B6.A1KF.01,3016.8,2120.52
TCGA.B6.A1KI.01,232.949,380.868
TCGA.B6.A1KN.01,1151.4,1957.16
TCGA.B6.A2IU.01,544.4,1588.07
TCGA.B6.A3ZX.01,2251.23,1214.88
TCGA.B6.A400.01,3269.79,2156.93
TCGA.B6.A401.01,340.653,944.92
TCGA.B6.A402.01,1941.02,1595.35
TCGA.B6.A408.01,394.57,1141.7
TCGA.B6.A409.01,876.102,1055.64
TCGA.B6.A40B.01,845.892,1146.39
TCGA.B6.A40C.01,1115.36,1164.77
TCGA.BH.A0AU.01,1569.83,1426.44
TCGA.BH.A0AV.01,4105.32,4578.58
TCGA.BH.A0AW.01,763.577,1135.82
TCGA.BH.A0AY.01,636.888,890.048
TCGA.BH.A0AZ.01,211.691,549.114
TCGA.BH.A0B0.01,359.562,882.693
TCGA.BH.A0B1.01,999.598,1628.17
TCGA.BH.A0B2.01,332.333,732.494
TCGA.BH.A0B3.01,3092.41,1890.01
TCGA.BH.A0B4.01,818.613,1122.49
TCGA.BH.A0B5.01,1673.76,1854.9
TCGA.BH.A0B7.01,634.314,921.015
TCGA.BH.A0B8.01,890.496,1427.1
TCGA.BH.A0B9.01,4950.32,4323.33
TCGA.BH.A0BA.01,641.58,926.741
TCGA.BH.A0BC.01,1075.21,2299.22
TCGA.BH.A0BD.01,1770.88,2157.95
TCGA.BH.A0BF.01,831.552,934.99
TCGA.BH.A0BG.01,1640.45,1077.33
TCGA.BH.A0BJ.01,337.262,715.861
TCGA.BH.A0BL.01,3025.12,2272.08
TCGA.BH.A0BM.01,61.3631,247.771
TCGA.BH.A0BO.01,128.457,240.091
TCGA.BH.A0BP.01,145.752,559.178
TCGA.BH.A0BQ.01,319.621,734.048
TCGA.BH.A0BR.01,901.579,582.833
TCGA.BH.A0BS.01,578.238,548.311
TCGA.BH.A0BT.01,431.348,655.743
TCGA.BH.A0BV.01,811.627,1217.57
TCGA.BH.A0BW.01,1255.5,1680.18
TCGA.BH.A0BZ.01,1243.19,1358.59
TCGA.BH.A0C0.01,1141.98,1362.27
TCGA.BH.A0C1.01,843.472,985.904
TCGA.BH.A0C3.01,743.782,1043.57
TCGA.BH.A0C7.01,1584.55,2916.31
TCGA.BH.A0DD.01,2661.85,2706.93
TCGA.BH.A0DE.01,355.564,595.269
TCGA.BH.A0DG.01,563.422,1003.07
TCGA.BH.A0DH.01,324.791,1687.24
TCGA.BH.A0DI.01,404.955,756.472
TCGA.BH.A0DK.01,790.144,1365.44
TCGA.BH.A0DL.01,2861.95,2413.84
TCGA.BH.A0DO.01,132.71,448.868
TCGA.BH.A0DP.01,337.072,734.676
TCGA.BH.A0DQ.01,281.573,1033.51
TCGA.BH.A0DS.01,195.339,397.024
TCGA.BH.A0DT.01,315.5,563.807
TCGA.BH.A0DV.01,166.934,509.188
TCGA.BH.A0DX.01,524.946,999.628
TCGA.BH.A0DZ.01,1224.51,1361.86
TCGA.BH.A0E0.01,2084.87,2017.67
TCGA.BH.A0E1.01,1754.26,1191.35
TCGA.BH.A0E2.01,1606.62,1104.4
TCGA.BH.A0E6.01,1036.85,1092.99
TCGA.BH.A0E7.01,391.925,634.448
TCGA.BH.A0E9.01,321.331,847.209
TCGA.BH.A0EA.01,108.31,433.066
TCGA.BH.A0EB.01,353.178,723.082
TCGA.BH.A0EE.01,1230.25,2439.16
TCGA.BH.A0EI.01,460.796,1107.76
TCGA.BH.A0GY.01,684.4,913.436
TCGA.BH.A0GZ.01,621.061,1203.92
TCGA.BH.A0H0.01,1174.3,1873.65
TCGA.BH.A0H3.01,193.498,531.139
TCGA.BH.A0H5.01,389.556,824.887
TCGA.BH.A0H6.01,180.953,762.368
TCGA.BH.A0H7.01,636.49,1605.06
TCGA.BH.A0H9.01,669.151,1165.09
TCGA.BH.A0HA.01,527.13,765.395
TCGA.BH.A0HB.01,706.801,2535.15
TCGA.BH.A0HF.01,756.72,1004.55
TCGA.BH.A0HI.01,347.101,579.165
TCGA.BH.A0HK.01,569.642,606.428
TCGA.BH.A0HL.01,918.49,1017.11
TCGA.BH.A0HN.01,282.854,631.424
TCGA.BH.A0HO.01,446.154,509.05
